algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,union,android,wm,34.0,59.0,71.0,82.0,84.0,0.5009993841866259,2.240492105484009,-1.0
craftdroid,intersection,android,wm,30.0,64.0,69.0,82.0,89.0,0.49881153732751504,2.323484182357788,-1.0
craftdroid,craftdroid,android,wm,36.0,58.0,73.0,82.0,84.0,0.5110106373013273,2.082024335861206,-1.0
craftdroid,atm,android,wm,30.0,65.0,69.0,82.0,89.0,0.49854886896139833,1.9942269325256348,-1.0
custom,union,android,wm,50.0,72.0,86.0,98.0,102.0,0.6130719137184656,1.7574820518493652,-1.0
custom,intersection,android,wm,45.0,71.0,84.0,94.0,99.0,0.5969809317018937,1.7426931858062744,-1.0
custom,craftdroid,android,wm,47.0,69.0,85.0,95.0,103.0,0.5985278897347864,1.7587730884552002,-1.0
custom,atm,android,wm,50.0,76.0,89.0,98.0,100.0,0.629261869155245,1.7706060409545898,-1.0
atm_0,union,android,wm,31.0,69.0,82.0,98.0,99.0,0.550049887851612,1.757580041885376,-1.0
atm_0,intersection,android,wm,38.0,67.0,78.0,90.0,95.0,0.5567201715231689,1.779573917388916,-1.0
atm_0,craftdroid,android,wm,31.0,70.0,83.0,96.0,99.0,0.5518561275888861,1.806196928024292,-1.0
atm_0,atm,android,wm,42.0,68.0,79.0,93.0,97.0,0.572987308092453,1.7960050106048584,-1.0
adaptdroid_0,union,android,wm,33.0,48.0,58.0,71.0,80.0,0.4558172557626002,1.8230860233306885,-1.0
adaptdroid_0,intersection,android,wm,35.0,56.0,63.0,76.0,77.0,0.4906858852770642,1.807021141052246,-1.0
adaptdroid_0,craftdroid,android,wm,35.0,50.0,62.0,70.0,81.0,0.471115030067452,1.8600399494171143,-1.0
adaptdroid_0,atm,android,wm,34.0,54.0,62.0,74.0,77.0,0.48219350943054606,1.961785078048706,-1.0
craftdroid,union,blogs,wm,34.0,57.0,70.0,81.0,87.0,0.49568569811977536,2.0944440364837646,-1.0
craftdroid,intersection,blogs,wm,34.0,56.0,64.0,71.0,79.0,0.4882149029258932,2.0623650550842285,-1.0
craftdroid,craftdroid,blogs,wm,35.0,56.0,72.0,81.0,87.0,0.5020811873499502,2.0758450031280518,-1.0
craftdroid,atm,blogs,wm,36.0,58.0,65.0,71.0,79.0,0.4981081705777815,2.0496838092803955,-1.0
custom,union,blogs,wm,49.0,73.0,87.0,93.0,98.0,0.6040521619185413,1.8315751552581787,-1.0
custom,intersection,blogs,wm,42.0,65.0,76.0,89.0,96.0,0.5637285833637331,1.7837238311767578,-1.0
custom,craftdroid,blogs,wm,43.0,68.0,87.0,94.0,101.0,0.5817338432640159,1.7895448207855225,-1.0
custom,atm,blogs,wm,50.0,73.0,82.0,90.0,97.0,0.6087799491145014,1.7862777709960938,-1.0
atm_0,union,blogs,wm,34.0,70.0,90.0,99.0,102.0,0.5751221465597733,1.8027777671813965,-1.0
atm_0,intersection,blogs,wm,45.0,67.0,78.0,88.0,92.0,0.5858230196540636,1.7877507209777832,-1.0
atm_0,craftdroid,blogs,wm,33.0,69.0,90.0,99.0,104.0,0.571159124569368,1.8158972263336182,-1.0
atm_0,atm,blogs,wm,50.0,75.0,83.0,92.0,97.0,0.6179568663823645,1.787153959274292,-1.0
adaptdroid_0,union,blogs,wm,37.0,55.0,66.0,70.0,81.0,0.490655086284447,1.8821890354156494,-1.0
adaptdroid_0,intersection,blogs,wm,36.0,57.0,65.0,71.0,78.0,0.49638646973684347,1.9602699279785156,-1.0
adaptdroid_0,craftdroid,blogs,wm,35.0,56.0,72.0,78.0,83.0,0.49614280976947017,2.0129520893096924,-1.0
adaptdroid_0,atm,blogs,wm,38.0,57.0,63.0,75.0,76.0,0.5022239582568878,1.9294500350952148,-1.0
craftdroid,union,standard,wm,33.0,56.0,71.0,81.0,87.0,0.49128108962619116,2.298468828201294,-1.0
craftdroid,intersection,standard,wm,32.0,57.0,69.0,78.0,88.0,0.4964514983971026,2.153449058532715,-1.0
craftdroid,craftdroid,standard,wm,34.0,56.0,72.0,81.0,87.0,0.4985881503815278,2.315953016281128,-1.0
craftdroid,atm,standard,wm,34.0,59.0,69.0,78.0,88.0,0.5053595443741141,2.144639015197754,-1.0
custom,union,standard,wm,51.0,72.0,87.0,97.0,100.0,0.6150415676277745,1.8714759349822998,-1.0
custom,intersection,standard,wm,47.0,66.0,82.0,90.0,97.0,0.5925949515502791,1.8332531452178955,-1.0
custom,craftdroid,standard,wm,49.0,67.0,83.0,95.0,99.0,0.602220791660447,1.7757809162139893,-1.0
custom,atm,standard,wm,54.0,74.0,87.0,95.0,98.0,0.6346853787903485,1.7718729972839355,-1.0
atm_0,union,standard,wm,29.0,65.0,84.0,97.0,98.0,0.536271074390197,1.7915830612182617,-1.0
atm_0,intersection,standard,wm,46.0,69.0,79.0,92.0,96.0,0.5964372080736787,1.7771971225738525,-1.0
atm_0,craftdroid,standard,wm,29.0,65.0,83.0,96.0,99.0,0.5377303035668174,1.786841869354248,-1.0
atm_0,atm,standard,wm,51.0,75.0,83.0,94.0,96.0,0.6215038074584776,1.7714760303497314,-1.0
adaptdroid_0,union,standard,wm,37.0,53.0,64.0,73.0,82.0,0.4850278653505549,1.7818820476531982,-1.0
adaptdroid_0,intersection,standard,wm,37.0,53.0,64.0,78.0,81.0,0.49501580675068974,1.948483943939209,-1.0
adaptdroid_0,craftdroid,standard,wm,37.0,54.0,67.0,77.0,84.0,0.4909614432310257,1.9570839405059814,-1.0
adaptdroid_0,atm,standard,wm,36.0,55.0,64.0,79.0,82.0,0.4944595515434447,2.5109620094299316,-1.0
craftdroid,union,googleplay,wm,33.0,53.0,64.0,78.0,87.0,0.48471222138418163,3.3249731063842773,-1.0
craftdroid,intersection,googleplay,wm,36.0,59.0,73.0,80.0,84.0,0.5228899582681561,2.4685990810394287,-1.0
craftdroid,craftdroid,googleplay,wm,34.0,54.0,68.0,79.0,88.0,0.4969043396107825,2.362244129180908,-1.0
