algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,union,android,wm,136.0,196.0,203.0,208.0,211.0,0.7860240249946133,3.8531079292297363,-1.0
craftdroid,intersection,android,wm,145.0,201.0,209.0,212.0,214.0,0.8214972033470482,3.7589669227600098,-1.0
craftdroid,craftdroid,android,wm,132.0,196.0,203.0,209.0,211.0,0.781035875888817,3.9481871128082275,-1.0
craftdroid,atm,android,wm,152.0,205.0,210.0,212.0,214.0,0.836784856869996,4.010676860809326,-1.0
custom,union,android,wm,167.0,197.0,204.0,207.0,209.0,0.8487849414071688,3.4334278106689453,-1.0
custom,intersection,android,wm,151.0,205.0,210.0,212.0,214.0,0.8348933419521651,3.7125210762023926,-1.0
custom,craftdroid,android,wm,160.0,202.0,205.0,210.0,213.0,0.849120468428138,3.457167863845825,-1.0
custom,atm,android,wm,166.0,206.0,210.0,212.0,213.0,0.8585682793827591,4.189960241317749,-1.0
atm_0,union,android,wm,116.0,180.0,204.0,208.0,212.0,0.7418841214090092,3.3633594512939453,-1.0
atm_0,intersection,android,wm,141.0,199.0,209.0,213.0,215.0,0.8159337548586024,3.392826795578003,-1.0
atm_0,craftdroid,android,wm,123.0,179.0,202.0,206.0,210.0,0.750917734854387,3.7649242877960205,-1.0
atm_0,atm,android,wm,151.0,201.0,212.0,213.0,215.0,0.832712418585652,3.5615487098693848,-1.0
adaptdroid_0,union,android,wm,133.0,163.0,170.0,181.0,186.0,0.7251364679646874,3.5817489624023438,-1.0
adaptdroid_0,intersection,android,wm,134.0,165.0,177.0,181.0,187.0,0.7321289421349685,3.6246581077575684,-1.0
adaptdroid_0,craftdroid,android,wm,136.0,165.0,172.0,184.0,190.0,0.736031859957287,3.5935990810394287,-1.0
adaptdroid_0,atm,android,wm,134.0,166.0,178.0,182.0,187.0,0.733471304523711,4.01734471321106,-1.0
craftdroid,union,blogs,wm,134.0,191.0,203.0,207.0,212.0,0.7763542013542015,4.108942031860352,-1.0
craftdroid,intersection,blogs,wm,147.0,192.0,205.0,210.0,214.0,0.8155297819324971,3.802501916885376,-1.0
craftdroid,craftdroid,blogs,wm,133.0,187.0,202.0,205.0,212.0,0.7736552663023254,3.825181007385254,-1.0
craftdroid,atm,blogs,wm,149.0,199.0,206.0,212.0,214.0,0.8226870037956012,3.7747247219085693,-1.0
custom,union,blogs,wm,169.0,198.0,207.0,209.0,210.0,0.8556690557464555,3.3653790950775146,-1.0
custom,intersection,blogs,wm,152.0,197.0,209.0,210.0,214.0,0.828180035941784,3.3612239360809326,-1.0
custom,craftdroid,blogs,wm,156.0,197.0,206.0,208.0,211.0,0.8351428303850446,3.3763909339904785,-1.0
custom,atm,blogs,wm,168.0,203.0,210.0,212.0,214.0,0.8608112935730416,3.355217218399048,-1.0
atm_0,union,blogs,wm,125.0,181.0,202.0,207.0,212.0,0.7609336401923581,3.384136915206909,-1.0
atm_0,intersection,blogs,wm,143.0,192.0,209.0,211.0,213.0,0.8119794337334231,3.374228000640869,-1.0
atm_0,craftdroid,blogs,wm,130.0,181.0,205.0,208.0,211.0,0.768665450865345,3.397494077682495,-1.0
atm_0,atm,blogs,wm,158.0,198.0,209.0,212.0,212.0,0.8429147601012754,3.466578960418701,-1.0
adaptdroid_0,union,blogs,wm,131.0,164.0,178.0,188.0,194.0,0.7264513508382467,3.4894959926605225,-1.0
adaptdroid_0,intersection,blogs,wm,137.0,169.0,182.0,187.0,190.0,0.7433568221279924,3.3463759422302246,-1.0
adaptdroid_0,craftdroid,blogs,wm,131.0,166.0,177.0,189.0,195.0,0.7283468214279443,3.3805880546569824,-1.0
adaptdroid_0,atm,blogs,wm,137.0,166.0,181.0,187.0,191.0,0.7404964472087939,3.371838092803955,-1.0
craftdroid,union,standard,wm,139.0,195.0,203.0,206.0,211.0,0.7902848241083534,3.85137677192688,-1.0
craftdroid,intersection,standard,wm,152.0,196.0,204.0,206.0,211.0,0.8274537588314679,3.831357002258301,-1.0
craftdroid,craftdroid,standard,wm,137.0,192.0,201.0,203.0,211.0,0.7851406219053277,3.8404839038848877,-1.0
craftdroid,atm,standard,wm,156.0,201.0,206.0,209.0,211.0,0.8384319962802935,3.784548044204712,-1.0
custom,union,standard,wm,170.0,202.0,207.0,208.0,211.0,0.8606177156177157,3.3803908824920654,-1.0
custom,intersection,standard,wm,156.0,196.0,207.0,208.0,215.0,0.8346771828389475,3.401340961456299,-1.0
custom,craftdroid,standard,wm,162.0,201.0,207.0,210.0,214.0,0.8523724816202124,3.383711099624634,-1.0
custom,atm,standard,wm,172.0,204.0,210.0,212.0,214.0,0.869650338767986,3.3663361072540283,-1.0
atm_0,union,standard,wm,128.0,184.0,207.0,211.0,214.0,0.7741144696007104,3.381373167037964,-1.0
atm_0,intersection,standard,wm,146.0,194.0,207.0,209.0,215.0,0.8200069643880006,3.3613011837005615,-1.0
atm_0,craftdroid,standard,wm,136.0,184.0,206.0,209.0,212.0,0.7865654173457753,3.4339120388031006,-1.0
atm_0,atm,standard,wm,157.0,196.0,209.0,213.0,214.0,0.8408849864732221,3.3797669410705566,-1.0
adaptdroid_0,union,standard,wm,143.0,171.0,176.0,187.0,192.0,0.7581047679649228,3.4024980068206787,-1.0
adaptdroid_0,intersection,standard,wm,142.0,170.0,180.0,190.0,193.0,0.7554722270388332,3.375758647918701,-1.0
adaptdroid_0,craftdroid,standard,wm,141.0,173.0,179.0,188.0,194.0,0.7569757693276001,3.3910038471221924,-1.0
