training_set,word_embedding,descriptors,algorithm,MRR,top1
manuals,glove,craftdroid_d,atm_a,0.639930055,141
manuals,fast,intersection,atm_a,0.684519306,161
manuals,glove,union,atm_a,0.659782944,155
manuals,wm,union,atm_a,0.67585216,147
manuals,fast,atm_d,craftdroid_a,0.717181126,181
manuals,glove,atm_d,craftdroid_a,0.713065646,180
manuals,fast,atm_d,semfinder_a,0.742275097,193
manuals,w2v,craftdroid_d,semfinder_a,0.702787713,164
manuals,fast,union,semfinder_a,0.725177057,187
manuals,wm,union,semfinder_a,0.7676493,217
blogs,fast,atm_d,atm_a,0.708729316,173
blogs,glove,atm_d,atm_a,0.731905447,184
blogs,glove,craftdroid_d,atm_a,0.630878242,140
blogs,w2v,craftdroid_d,atm_a,0.622766432,137
blogs,fast,intersection,atm_a,0.700894211,168
blogs,wm,intersection,atm_a,0.734133309,188
blogs,fast,atm_d,craftdroid_a,0.696524909,176
blogs,glove,craftdroid_d,craftdroid_a,0.682905046,168
blogs,fast,intersection,craftdroid_a,0.687064899,167
blogs,wm,atm_d,semfinder_a,0.774058665,218
blogs,wm,craftdroid_d,semfinder_a,0.747915998,199
blogs,fast,union,semfinder_a,0.727772854,191
blogs,glove,union,semfinder_a,0.715058713,180
empty,js,union,atm_a,0.677339866,143
empty,js,atm_d,craftdroid_a,0.672377942,153
empty,es,atm_d,semfinder_a,0.738171279,189
googleplay,fast,atm_d,atm_a,0.706031383,172
googleplay,wm,atm_d,atm_a,0.762631338,205
googleplay,wm,union,atm_a,0.711545005,165
googleplay,wm,craftdroid_d,craftdroid_a,0.6958901,173
googleplay,w2v,intersection,craftdroid_a,0.720522811,182
googleplay,wm,atm_d,semfinder_a,0.795891209,226
googleplay,glove,craftdroid_d,semfinder_a,0.726458566,183
googleplay,w2v,craftdroid_d,semfinder_a,0.744862989,187
standard,nnlm,craftdroid_d,atm_a,0.703984045,164
standard,w2v,union,atm_a,0.644601896,146
standard,wm,union,atm_a,0.692245526,157
standard,bert,atm_d,craftdroid_a,0.689822069,176
standard,use,atm_d,craftdroid_a,0.724117961,191
standard,w2v,atm_d,craftdroid_a,0.707339707,180
standard,w2v,intersection,craftdroid_a,0.698873314,173
standard,fast,union,craftdroid_a,0.669310221,167
standard,fast,craftdroid_d,semfinder_a,0.729393994,182
standard,nnlm,craftdroid_d,semfinder_a,0.751732256,207
standard,w2v,craftdroid_d,semfinder_a,0.718624775,175
standard,glove,intersection,semfinder_a,0.716220326,177
standard,w2v,intersection,semfinder_a,0.735482299,186
standard,nnlm,union,semfinder_a,0.758780152,218
standard,fast,intersection,adaptdroid_a,0.68071761,175
standard,wm,intersection,adaptdroid_a,0.66581957,179
standard,wm,union,adaptdroid_a,0.66410797,180
blogs,w2v,atm_d,adaptdroid_a,0.65829432,172
standard,nnlm,intersection,adaptdroid_a,0.65531943,178
blogs,fast,atm_d,adaptdroid_a,0.65332667,171
standard,nnlm,craftdroid_d,adaptdroid_a,0.65026143,172
blogs,wm,craftdroid_d,adaptdroid_a,0.64841903,166
blogs,fast,intersection,adaptdroid_a,0.6472183,166
googleplay,w2v,union,adaptdroid_a,0.63622568,159
manuals,w2v,atm_d,adaptdroid_a,0.62872819,159
empty,js,union,adaptdroid_a,0.62677891,152
blogs,w2v,craftdroid_d,adaptdroid_a,0.6193969,152
manuals,glove,intersection,adaptdroid_a,0.61768065,154
manuals,fast,union,adaptdroid_a,0.61259537,154
manuals,fast,craftdroid_d,adaptdroid_a,0.60850535,151
empty,es,intersection,adaptdroid_a,0.60526742,144
standard,bert,atm_d,adaptdroid_a,0.59975456,153
manuals,w2v,craftdroid_d,adaptdroid_a,0.58909203,143
standard,bert,craftdroid_d,adaptdroid_a,0.55847709,134
