training_set,word_embedding,descriptors,algorithm,MRR,top1
manuals,wm,union,semfinder_a,0.6130719137184656,50.0
manuals,wm,union,atm_a,0.550049887851612,31.0
blogs,wm,craftdroid_d,semfinder_a,0.5817338432640159,43.0
blogs,wm,atm_d,semfinder_a,0.6087799491145014,50.0
blogs,wm,intersection,atm_a,0.5858230196540636,45.0
blogs,wm,craftdroid_d,adaptdroid_a,0.4961428097694701,35.0
standard,wm,union,atm_a,0.536271074390197,29.0
standard,wm,union,adaptdroid_a,0.4850278653505549,37.0
standard,wm,intersection,adaptdroid_a,0.4950158067506897,37.0
googleplay,wm,craftdroid_d,craftdroid_a,0.4969043396107825,34.0
googleplay,wm,atm_d,semfinder_a,0.6281441738338293,52.0
googleplay,wm,union,atm_a,0.5863503734827268,35.0
googleplay,wm,atm_d,atm_a,0.5957279382494901,45.0
manuals,w2v,craftdroid_d,semfinder_a,0.5945893067660311,43.0
manuals,w2v,craftdroid_d,adaptdroid_a,0.454384797952157,31.0
manuals,w2v,atm_d,adaptdroid_a,0.4747024332738327,32.0
blogs,w2v,craftdroid_d,atm_a,0.4705451768812504,24.0
blogs,w2v,craftdroid_d,adaptdroid_a,0.4654827912657583,32.0
blogs,w2v,atm_d,adaptdroid_a,0.4964011818043144,38.0
standard,w2v,intersection,craftdroid_a,0.4774087555210377,27.0
standard,w2v,atm_d,craftdroid_a,0.4800223296863361,29.0
standard,w2v,intersection,semfinder_a,0.5722458175535124,40.0
standard,w2v,craftdroid_d,semfinder_a,0.5664225607050152,40.0
standard,w2v,union,atm_a,0.5134396306683325,31.0
googleplay,w2v,intersection,craftdroid_a,0.517360400367782,36.0
googleplay,w2v,craftdroid_d,semfinder_a,0.6128265085388497,48.0
googleplay,w2v,union,adaptdroid_a,0.4608961574171887,31.0
standard,nnlm,union,semfinder_a,0.6042582896031174,52.0
standard,nnlm,craftdroid_d,semfinder_a,0.5859222793490036,46.0
standard,nnlm,craftdroid_d,atm_a,0.5887455217196599,35.0
standard,nnlm,intersection,adaptdroid_a,0.4934405137392986,38.0
standard,nnlm,craftdroid_d,adaptdroid_a,0.5121022801410067,39.0
standard,use,atm_d,craftdroid_a,0.5154405828033531,37.0
standard,bert,atm_d,craftdroid_a,0.4940304927834108,35.0
standard,bert,craftdroid_d,adaptdroid_a,0.3937081440364911,24.0
standard,bert,atm_d,adaptdroid_a,0.4772119729828277,37.0
manuals,glove,atm_d,craftdroid_a,0.4855856686720099,30.0
manuals,glove,union,atm_a,0.522814075481768,33.0
manuals,glove,craftdroid_d,atm_a,0.4964296648732195,26.0
manuals,glove,intersection,adaptdroid_a,0.4479971680619889,29.0
blogs,glove,craftdroid_d,craftdroid_a,0.4824573150288613,32.0
blogs,glove,union,semfinder_a,0.5404609279609279,37.0
blogs,glove,craftdroid_d,atm_a,0.4661725102733087,24.0
blogs,glove,atm_d,atm_a,0.5951533735175777,44.0
standard,glove,intersection,semfinder_a,0.5340823389615793,35.0
googleplay,glove,craftdroid_d,semfinder_a,0.5719568865043004,43.0
manuals,fast,atm_d,craftdroid_a,0.5220508341357896,35.0
manuals,fast,union,semfinder_a,0.5783725493854807,40.0
manuals,fast,atm_d,semfinder_a,0.5915190967028536,41.0
manuals,fast,intersection,atm_a,0.5116388646785729,33.0
manuals,fast,union,adaptdroid_a,0.4589248681767631,31.0
manuals,fast,craftdroid_d,adaptdroid_a,0.4653708284549936,33.0
blogs,fast,intersection,craftdroid_a,0.4504977258084955,26.0
blogs,fast,atm_d,craftdroid_a,0.4596856643067788,28.0
blogs,fast,union,semfinder_a,0.5845179006816938,45.0
blogs,fast,intersection,atm_a,0.5241399452876648,34.0
blogs,fast,atm_d,atm_a,0.5766434770109906,42.0
blogs,fast,intersection,adaptdroid_a,0.4810457361662549,34.0
blogs,fast,atm_d,adaptdroid_a,0.4986681031827716,38.0
standard,fast,union,craftdroid_a,0.4604924938067382,28.0
standard,fast,craftdroid_d,semfinder_a,0.585759099476138,44.0
standard,fast,intersection,adaptdroid_a,0.4957988594865952,34.0
googleplay,fast,atm_d,atm_a,0.5426056428484821,35.0
empty,js,atm_d,craftdroid_a,0.4409356927575037,21.0
empty,js,union,atm_a,0.5230370922181264,25.0
empty,js,union,adaptdroid_a,0.4350432124521876,27.0
empty,es,atm_d,semfinder_a,0.5912737627926116,43.0
empty,es,intersection,adaptdroid_a,0.408723713265135,25.0
