training_set,word_embedding,descriptors,algorithm,MRR,top1
manuals,wm,union,semfinder_a,0.8487849414071688,167.0
manuals,wm,union,atm_a,0.7418841214090092,116.0
blogs,wm,craftdroid_d,semfinder_a,0.8351428303850446,156.0
blogs,wm,atm_d,semfinder_a,0.8608112935730416,168.0
blogs,wm,intersection,atm_a,0.8119794337334231,143.0
blogs,wm,craftdroid_d,adaptdroid_a,0.7283468214279443,131.0
standard,wm,union,atm_a,0.7741144696007104,128.0
standard,wm,union,adaptdroid_a,0.7581047679649228,143.0
standard,wm,intersection,adaptdroid_a,0.7554722270388332,142.0
googleplay,wm,craftdroid_d,craftdroid_a,0.800335113802606,139.0
googleplay,wm,atm_d,semfinder_a,0.8839394265864855,174.0
googleplay,wm,union,atm_a,0.7772580235249927,130.0
googleplay,wm,atm_d,atm_a,0.850236741639457,160.0
manuals,w2v,craftdroid_d,semfinder_a,0.7595796360502243,121.0
manuals,w2v,craftdroid_d,adaptdroid_a,0.6597980831523622,112.0
manuals,w2v,atm_d,adaptdroid_a,0.7095742841373424,127.0
blogs,w2v,craftdroid_d,atm_a,0.7026653713305299,113.0
blogs,w2v,craftdroid_d,adaptdroid_a,0.7001843987756602,120.0
blogs,w2v,atm_d,adaptdroid_a,0.743269896668107,134.0
standard,w2v,intersection,craftdroid_a,0.8151171540877424,146.0
standard,w2v,atm_d,craftdroid_a,0.8266556156262037,151.0
standard,w2v,intersection,semfinder_a,0.821162986286326,146.0
standard,w2v,craftdroid_d,semfinder_a,0.7985137197307163,135.0
standard,w2v,union,atm_a,0.7134472484198615,115.0
googleplay,w2v,intersection,craftdroid_a,0.8271600948071536,146.0
googleplay,w2v,craftdroid_d,semfinder_a,0.8141672053436757,139.0
googleplay,w2v,union,adaptdroid_a,0.7282538442147177,128.0
standard,nnlm,union,semfinder_a,0.8398866499262427,166.0
standard,nnlm,craftdroid_d,semfinder_a,0.8387637371821964,161.0
standard,nnlm,craftdroid_d,atm_a,0.7644712332295518,129.0
standard,nnlm,intersection,adaptdroid_a,0.7402875511120159,140.0
standard,nnlm,craftdroid_d,adaptdroid_a,0.7227793559329355,133.0
standard,use,atm_d,craftdroid_a,0.8336499787291644,154.0
standard,bert,atm_d,craftdroid_a,0.7925904977375567,141.0
standard,bert,craftdroid_d,adaptdroid_a,0.6449621504584815,110.0
standard,bert,atm_d,adaptdroid_a,0.6640755548435338,116.0
manuals,glove,atm_d,craftdroid_a,0.8324669012904308,150.0
manuals,glove,union,atm_a,0.7316761051373888,122.0
manuals,glove,craftdroid_d,atm_a,0.7152515268241819,115.0
manuals,glove,intersection,adaptdroid_a,0.7067452807649526,125.0
blogs,glove,craftdroid_d,craftdroid_a,0.7881174295260981,136.0
blogs,glove,union,semfinder_a,0.8067027994629806,143.0
blogs,glove,craftdroid_d,atm_a,0.7173301187532688,116.0
blogs,glove,atm_d,atm_a,0.8036848164786886,140.0
standard,glove,intersection,semfinder_a,0.8118221647633412,142.0
googleplay,glove,craftdroid_d,semfinder_a,0.8075544697517014,140.0
manuals,fast,atm_d,craftdroid_a,0.8196024563671621,146.0
manuals,fast,union,semfinder_a,0.8022328162034044,147.0
manuals,fast,atm_d,semfinder_a,0.8214049430961196,152.0
manuals,fast,intersection,atm_a,0.7752619816742231,128.0
manuals,fast,union,adaptdroid_a,0.6932549927963068,123.0
manuals,fast,craftdroid_d,adaptdroid_a,0.6836347778061898,118.0
blogs,fast,intersection,craftdroid_a,0.8112359046182576,141.0
blogs,fast,atm_d,craftdroid_a,0.820838720103426,148.0
blogs,fast,union,semfinder_a,0.8029654985537339,146.0
blogs,fast,intersection,atm_a,0.7936702049383995,134.0
blogs,fast,atm_d,atm_a,0.7780594399589803,131.0
blogs,fast,intersection,adaptdroid_a,0.734440092969275,132.0
blogs,fast,atm_d,adaptdroid_a,0.734504923577092,133.0
standard,fast,union,craftdroid_a,0.7789159056127377,139.0
standard,fast,craftdroid_d,semfinder_a,0.8047860646203389,138.0
standard,fast,intersection,adaptdroid_a,0.7777790395006354,141.0
googleplay,fast,atm_d,atm_a,0.7918114100162685,137.0
empty,js,atm_d,craftdroid_a,0.7938589420147184,132.0
empty,js,union,atm_a,0.7583313667065145,118.0
empty,js,union,adaptdroid_a,0.7274184692623078,125.0
empty,es,atm_d,semfinder_a,0.815275857277136,146.0
empty,es,intersection,adaptdroid_a,0.7084251125601378,119.0
