algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
custom,atm,googleplay,wm,226,285,300,311,314,0.795891209,18.69631886,81
custom,atm,standard,wm,226,278,297,307,312,0.788772192,21.72379589,133
custom,atm,standard,use,222,271,292,306,313,0.776731661,2068.384704,1009
custom,union,standard,wm,221,274,294,305,311,0.776087053,25.84812069,0
custom,union,googleplay,wm,219,271,294,308,314,0.77295361,25.47962379,0
custom,atm,blogs,wm,218,276,292,302,311,0.774058665,20.47930002,122
custom,union,blogs,wm,218,271,294,302,308,0.769059086,26.90544581,0
custom,union,standard,nnlm,218,260,277,295,307,0.758780152,667.6804938,5
custom,union,android,wm,217,269,290,305,311,0.7676493,25.08895493,0
custom,atm,android,wm,216,282,299,310,313,0.779637883,18.64599514,140
custom,atm,standard,nnlm,215,268,286,299,306,0.76135351,667.8263445,584
custom,union,standard,use,215,263,288,300,306,0.759220613,2220.110168,90
custom,craftdroid,standard,wm,211,268,290,305,313,0.766266855,25.67762828,0
custom,craftdroid,googleplay,wm,210,272,291,308,319,0.77049275,24.61412501,0
custom,craftdroid,standard,use,210,265,287,297,307,0.76068395,2150.854825,95
custom,intersection,googleplay,wm,208,275,295,304,315,0.771865857,18.41040707,122
atm,atm,blogs,wm,208,273,292,304,309,0.765481182,26.7378552,12897
atm,atm,standard,wm,208,271,292,307,310,0.76537099,24.94009876,12897
atm,atm,standard,use,208,264,292,301,307,0.760503807,3738.811995,8462
custom,craftdroid,android,wm,207,271,290,305,316,0.762863082,24.60601377,0
custom,craftdroid,standard,nnlm,207,259,275,296,309,0.751732256,674.721765,5
atm,atm,googleplay,wm,205,272,294,307,310,0.762631338,25.603266,12629
custom,atm,standard,fast,205,266,292,305,311,0.75715753,69.13210607,6329
custom,intersection,standard,nnlm,205,259,280,295,304,0.74827173,663.3252966,692
custom,intersection,standard,use,204,262,289,301,312,0.753084077,2168.058174,1003
custom,intersection,standard,wm,203,262,289,298,312,0.751349174,18.47612524,174
custom,union,googleplay,w2v,202,273,290,312,320,0.756831028,97.12942481,18176
custom,atm,standard,bert,200,258,285,296,303,0.73265391,1357.154346,72
custom,craftdroid,blogs,wm,199,265,293,302,312,0.747915998,25.83408403,0
custom,union,googleplay,fast,199,266,290,309,316,0.747761166,95.56285429,1578
atm,atm,standard,nnlm,199,253,283,298,305,0.738480206,1972.554616,13964
craftdroid,atm,googleplay,wm,198,268,285,298,302,0.746769102,13.16714072,51
custom,intersection,android,wm,196,276,294,306,313,0.753000643,18.21490908,181
custom,atm,standard,w2v,196,272,289,307,313,0.74649967,69.94573212,20771
custom,union,standard,fast,196,271,290,303,313,0.741596611,108.2420437,18300
custom,union,googleplay,glove,196,259,280,303,313,0.735145287,88.17107773,54730
atm,intersection,googleplay,wm,195,265,289,300,305,0.750397587,17.73985314,12660
custom,atm,googleplay,w2v,195,271,300,313,319,0.749527218,66.43158841,1652
custom,intersection,blogs,wm,194,262,285,299,310,0.737152236,19.40750504,163
craftdroid,atm,googleplay,w2v,194,260,280,297,306,0.734973379,41.08848596,294
atm,atm,android,wm,193,269,291,306,312,0.74331149,29.72368097,13149
custom,atm,android,fast,193,266,296,308,315,0.742275097,59.63775563,0
atm,atm,android,glove,192,267,286,307,315,0.743761527,67.96658301,47541
atm,intersection,standard,wm,192,263,286,301,311,0.743051203,16.97263813,12927
craftdroid,atm,standard,nnlm,192,253,270,286,295,0.71711995,652.7513387,774
custom,atm,blogs,fast,191,263,286,296,308,0.730489975,59.05741954,165
custom,union,blogs,fast,191,259,285,305,315,0.727772854,88.03543615,236
craftdroid,atm,standard,use,191,253,277,289,304,0.724117961,2341.568069,370
custom,union,empty,jaccard,190,267,286,307,310,0.746854179,44.33003426,524
custom,atm,android,w2v,190,273,296,309,317,0.742662799,64.79207253,16194
custom,atm,empty,jaccard,190,258,292,296,308,0.738217364,47.81959558,6657
craftdroid,intersection,googleplay,wm,190,260,284,298,302,0.734073045,12.86097884,49
atm,intersection,standard,use,190,249,289,299,305,0.732168975,3724.737961,8240
custom,union,standard,w2v,190,268,284,300,311,0.731698167,97.73101139,75908
custom,union,standard,glove,190,259,287,302,309,0.728020681,91.13909268,81766
craftdroid,atm,standard,wm,190,260,275,287,299,0.723783912,13.76271892,165
adaptdroid,atm,standard,use,190,237,253,270,281,0.69604801,1144.68774,943
custom,atm,empty,edit_distance,189,265,295,305,314,0.738171279,52.73914981,51605
custom,intersection,standard,fast,189,260,289,299,306,0.737236473,67.93641829,5207
custom,atm,android,glove,189,268,293,304,312,0.7343986,59.07347918,48594
custom,union,empty,edit_distance,189,258,285,304,311,0.729021026,91.52426052,155991
craftdroid,atm,blogs,glove,189,258,277,293,301,0.72479663,37.70439696,5962
custom,atm,googleplay,fast,188,267,301,310,318,0.736909367,59.86801529,227
atm,intersection,blogs,wm,188,259,287,299,305,0.734133309,18.01844192,12927
custom,atm,blogs,glove,188,263,290,304,311,0.728303551,57.98955345,22106
custom,atm,googleplay,glove,188,259,282,298,310,0.724977756,57.33401036,17224
custom,atm,blogs,w2v,188,261,288,295,301,0.724521049,68.94420242,7539
custom,craftdroid,googleplay,w2v,187,271,292,311,320,0.744862989,103.0662355,17245
custom,intersection,googleplay,w2v,187,263,292,305,313,0.738997377,63.56307578,1476
custom,atm,standard,glove,187,263,289,301,313,0.727418581,68.34600902,22444
custom,union,android,fast,187,265,283,304,314,0.725177057,90.24809909,0
adaptdroid,intersection,standard,use,187,233,251,270,279,0.68987211,1138.49019,809
adaptdroid,craftdroid,googleplay,wm,187,232,251,268,281,0.68704681,38.1005585,0
adaptdroid,union,googleplay,wm,187,228,251,265,274,0.68186869,41.3723676,0
custom,intersection,standard,w2v,186,265,284,300,312,0.735482299,60.9147656,17970
atm,atm,standard,w2v,186,266,282,301,311,0.730700679,81.569906,20355
craftdroid,intersection,standard,use,186,250,275,286,304,0.717869659,2619.801094,370
atm,atm,standard,bert,186,256,283,295,300,0.716390687,3352.116131,12503
adaptdroid,atm,googleplay,wm,186,229,248,270,278,0.683759,16.9209585,140
adaptdroid,intersection,googleplay,wm,186,229,247,266,274,0.68284961,16.1134219,140
custom,craftdroid,googleplay,fast,185,264,292,306,314,0.737632419,81.13920808,1556
atm,intersection,blogs,glove,185,263,289,298,309,0.734601622,49.93685818,19956
atm,atm,standard,glove,185,262,284,303,309,0.728963361,93.97455311,21570
atm,intersection,standard,nnlm,185,254,280,296,304,0.725363827,1866.091096,14082
craftdroid,atm,standard,glove,185,258,272,288,297,0.717027003,37.04610419,6784
craftdroid,atm,standard,fast,185,251,273,293,301,0.7144792,38.28913212,2141
craftdroid,atm,blogs,wm,185,257,271,283,293,0.710962539,13.53832197,155
atm,atm,blogs,glove,184,269,293,304,312,0.731905447,74.83784795,21761
craftdroid,atm,googleplay,fast,184,262,282,295,303,0.723470719,35.02720737,46
craftdroid,intersection,standard,wm,184,253,273,284,299,0.713518263,13.96774077,161
adaptdroid,craftdroid,standard,use,184,229,247,268,279,0.67805133,1156.0231,81
atm,atm,standard,fast,183,268,284,302,308,0.727510442,93.21751118,5854
custom,craftdroid,googleplay,glove,183,261,282,299,307,0.726458566,75.5738821,50522
craftdroid,union,standard,use,183,241,275,290,301,0.69864767,5683.936124,383
atm,intersection,android,glove,182,261,289,302,310,0.731174871,44.72033334,42198
custom,craftdroid,standard,fast,182,265,293,302,309,0.729393994,96.54729676,16261
custom,intersection,android,fast,182,260,286,298,309,0.726392231,61.45915556,0
custom,intersection,blogs,glove,182,259,286,304,309,0.726126884,61.91031861,19604
craftdroid,intersection,googleplay,w2v,182,255,278,296,306,0.720522811,48.95570183,288
craftdroid,atm,android,wm,182,270,279,294,303,0.720359413,13.28495789,296
custom,union,android,glove,182,250,283,304,312,0.711633352,87.4893868,156323
custom,intersection,standard,bert,182,243,276,293,303,0.702102583,1414.988161,113
adaptdroid,union,standard,use,182,230,250,265,279,0.67438988,1164.65785,81
custom,intersection,android,glove,181,261,288,299,308,0.725658532,53.00559282,41190
atm,union,standard,use,181,247,284,307,314,0.718371042,7459.641029,3264
craftdroid,atm,android,fast,181,257,282,292,305,0.717181126,39.78270674,0
custom,union,standard,bert,181,253,284,300,312,0.70294913,1455.363191,0
craftdroid,intersection,blogs,wm,181,248,269,281,293,0.702863533,13.80290198,151
custom,intersection,googleplay,fast,180,261,293,304,311,0.727342443,49.29501987,208
atm,atm,empty,edit_distance,180,262,283,302,311,0.724195261,69.03921199,50208
custom,intersection,empty,edit_distance,180,258,286,299,307,0.722191016,45.59265351,43501
custom,intersection,blogs,fast,180,259,280,291,301,0.719461657,50.8813448,122
custom,union,blogs,glove,180,260,289,305,315,0.715058713,90.91376734,74499
craftdroid,atm,android,glove,180,257,280,293,301,0.713065646,31.15183043,13871
craftdroid,intersection,blogs,glove,180,253,275,292,302,0.712780967,38.6807158,5916
